Date,Open,High,Low,Close*,Adj Close**,Volume
11/2/2020,108.68,108.68,107.32,108.55,108.55,"19,404"
10/30/2020,107.5,107.53,102.75,105.97,105.97,"26,987"
10/29/2020,106.25,107.5,105.78,106.28,106.28,377
10/28/2020,104.65,106.15,104.65,105.85,105.85,485
10/27/2020,104.2,105.03,104.07,104.85,104.85,888
10/26/2020,103.18,104.28,103.15,103.97,103.97,680
10/23/2020,103.2,104.3,103.2,103.35,103.35,720
10/22/2020,103.7,103.82,103,103.32,103.32,894
10/21/2020,104.7,104.7,103.25,103.65,103.65,831
10/20/2020,104,104.95,102.97,104.13,104.13,"1,184"
10/19/2020,107.05,107.35,103.8,104,104,"1,786"
10/16/2020,107.8,107.8,106.85,107.15,107.15,"1,395"
10/15/2020,108.1,108.35,107.6,107.78,107.78,932
10/14/2020,108.85,109.05,107.85,108.38,108.38,"1,692"
10/13/2020,108.8,108.95,107.7,108.82,108.82,"2,550"
10/12/2020,110.3,110.3,108.05,108.35,108.35,"3,810"
10/9/2020,109.9,110.38,109.32,109.88,109.88,"2,977"
10/8/2020,110.25,110.35,109.65,109.7,109.7,"2,415"
10/7/2020,109.1,110.3,109.03,110.18,110.18,"2,770"
10/6/2020,108.75,109.55,108.7,109.2,109.2,"2,912"
10/5/2020,108.65,109.15,108.35,108.82,108.82,"4,477"
10/2/2020,108.15,108.43,107.9,108.18,108.18,"7,124"
10/1/2020,108.7,109.43,108.47,108.53,108.53,"7,416"
9/30/2020,108.9,109.25,108.38,108.55,108.55,"8,306"
9/29/2020,108.32,109.22,108.3,108.9,108.9,"10,159"
9/28/2020,107.2,108.2,106.8,107.95,107.95,"6,813"
9/25/2020,108,108.45,107.53,107.57,107.57,"8,573"
9/24/2020,107.05,108.2,106.97,108.03,108.03,"9,696"
9/23/2020,106.65,107.47,106.63,107.15,107.15,"7,385"
9/22/2020,106.93,107.03,106.15,106.47,106.47,"9,969"
9/21/2020,106.68,106.97,106.13,106.7,106.7,"15,863"
9/18/2020,106.93,107.97,106.6,107.35,107.35,"14,416"
9/17/2020,106.57,106.95,105.93,106.78,106.78,"16,163"
9/16/2020,107.1,107.3,106.32,106.72,106.72,"23,048"
9/15/2020,106.85,107.4,106.4,107.1,107.1,"20,586"
9/14/2020,105.9,107.55,105.9,106.88,106.88,"38,589"
9/11/2020,105.35,106.07,104.97,105.53,105.53,"35,684"
9/10/2020,104.75,106.18,104.72,105.1,105.1,"32,847"
